Crop,Variety testing name/code,Offici al Rele ase Name,Year of rele ase,Owner(s)/ Licensee,Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
MAIZE,"399. FAWT
H2001","KALZ
m-
H5-
301",2023,"KALRO/C
IMMYT","KALRO/CIM
MYT","Altitude:1100-
2100 m.a.s.l
AEZ: Lower
mid-land to
upper midland
zones
Site:Mwea,
Thika, Embu,
Kibos,
Kakamega,
Alupe Busia,
Kaguru,Kimait
e,
Kirinyaga,Siay
a, Soin and
Wambugu",4-5,6-7," Good adaptability
across agro –ecologies
 tolerant to fall
armyworm
 resistant to gray leaf
spot, Turcicum leaf
blight and common
rust
 Good husk cover"
MAIZE,"400. FAWT
H2002","KALZ
m-
H5-
302",2023,"KALRO/C
IMMYT","KALRO/CIM
MYT","Altitude:1100-
2100 m.a.s.l
AEZ: Lower
mid-land to
upper midland
zones
Site:Mwea,
Thika, Embu,
Kibos,
Kakamega,
Alupe Busia,
Kaguru,Kimait
e,
Kirinyaga,Siay
a, Soin and
Wambugu",4-5,6-8," Good adaptability
across agro –ecologies
 tolerant to fall
armyworm
 resistant to gray leaf
spot, Turcicum leaf
blight and common
rust
 Good husk cover"
MAIZE,"401. FAWT
H2003","KALZ
m-
H5-
303",2023,"KALRO/C
IMMYT","KALRO/CIM
MYT","Altitude:1100-
2100 m.a.s.l
AEZ: Lower
mid-land to
upper midland
zones
Site:Mwea,
Thika, Embu,
Kibos,
Kakamega,
Alupe Busia,
Kaguru,Kimait
e,
Kirinyaga,Siay
a, Soin and
Wambugu",4-5,6-8," Good adaptability
across agro –ecologies
 Tolerant to fall
armyworm
 Resistant to gray leaf
spot, Turcicum leaf
blight and common
rust
 Good husk cover"
MAIZE,"402. Masen
o
Sukari","Mase
no
Sukar
i",2023,"Mathews
M
Dida/Ma
seno
Universit
y","Mathews M
Dida/Masen
o University","Altitude:1200-
1700 m.a.s.l
AEZ: UM 1-4,
LH 1-3
Site:Kisumu,
Kakamega,Vihi
ga,
Homabay,Mig
ori, Busia,
Embu, Siaya,
Kisii, Kitale",4-5,7-14," Resistant to major
foliar disaeses,GLS (2),
Rust (1), MSV
(2),TLB(2), and Maize
streak virus
 Very sweet as green
maize"
MAIZE,"403. EASH1
710","MH5
04",2023,"Agriscop
e Africa
Ltd","Agriscope
Africa Ltd","Altitude:1100-
2000 m.a.s.l
AEZ: LH 3 (
Lower
Highland sub
humid
zone&UM4(U
pper mid land
transitional
zones
Site:Embu,
Nyeri, Nakuru,
Uasin Gishu,
Transzoia,and
Nandi county
among others",4-5,7-8," Resistant to major
foliar disaeses,GLS (2),
Rust (1), MSV
(2),TLB(2)
 Good standibility
(reduced lodging)
 Good husk cover,
plant aspect and ear
aspect"
MAIZE,"404. KSDH
17002
9",H533,2023,"Kenya
Seed Co
Ltd","Kenya Seed
Co Ltd","Altitude:1000-
1700 m.a.s.l
AEZ: UM2-
LM2
Sites:Embu,
Kirinyaga,Kia
mbu,Busia,Kak
amega",4-5,6-10," Uniform ear
placement
 Resistance to leaf
blight
 Large flint like kernels
 Lodge tolerance
 Good husk cover"
MAIZE,"405. 19mz-
27",H534,2023,"Kenya
Seed Co
Ltd","Kenya Seed
Co Ltd","Altitude:900-
1700 m.a.s.l
AEZ: UM2-
LM2
Sites:Embu,
Meru,
Murang'a,
Lugari, Busia",4-5,5.5-8.5," Excellent husk cover
 Drooping ears
 Flint grains
 Lodge tolerance"
MAIZE,"406. DK750
0","DK75
00",2023,Bayer AG,"Bayer East
Africa Ltd","Altitude:900-
1500 m.a.s.l
AEZ: LM1-4
Sites:Mwea,
Thika,
Kangundo,Kat
hiani,Mukuyu
ni,Homabay,
kianjai",3.4-5,8.5-9.0," Yellow maize -dual
purpose for both
food/ feed utilization
 Good standability-
strong roots/stalks
hence low lodging
 Excellent tolerance to
foliar disease
 Uniform cob
placement - good for
mechanized
operations"
MAIZE,"407. ZS770
1","DKC8
3-43",2023,Bayer AG,"Bayer East
Africa Ltd","Altitude:900-
1500 m.a.s.l
AEZ: LM1-4
Sites:Mwea,
Thika,
Kangundo,Kat
hiani,Mukuyu
ni,Homabay,
kianjai",3.4-5,7.5-8.5," Exceptional good
grain texture(Flint
type)-good for green
maize
 Good standability -
strong roots / stalks
hence low lodging
 Uniform cob
placement -good for
machenized
operations
 Excellent tolerance to
foliar diease"
MAIZE,"408. ZR864
3","DKC8
8-45",2023,Bayer AG,"Bayer East
Africa Ltd","Altitude:1000-
1800 m.a.s.l
AEZ: UM1-3
Sites:Busia,
Embu, Kaguru,
Kimaeti, Siaya,
Soin,
Kirinyaga,Wa
mbugu",5-6,8-9," Highly tolerant to
maize leaf
necrosis(MLN)(score
of 3.5-4.5 in a scale of
1-9)
 Exceptional good
grain texture(Flint
type)-good for green
maize
 Good standability -
strong roots / stalks
hence low lodging
 Uniform cob
placement -good for
machenized
operations
 Excellent tolerance to
foliar diease and
highly prolific -double
cobbing"
MAIZE,"409. ZR970
9","DKC9
7-09",2023,Bayer AG,"Bayer East
Africa Ltd","Altitude:1500-
2200 m.a.s.l
AEZ: LH1-3
Sites:Bukura,
Bumula,Kabia
nga,
Kakamega,
Lanet,
Mabanga,
Yala, Baraton,
Kitale,
Chepkoilel",6-8,9-10," Highly tolerant to
maize leaf
necrosis(MLN)(score
of 3.5-4.5 in a scale of
1-9)
 Exceptional good
grain texture(Flint
type)-good for green
maize
 Good standability -
strong roots / stalks
hence low lodging
 Uniform cob
placement -good for
machenized
operations
 Excellent tolerance to
foliar diease
 Highly prolific -double
cobbing"
MAIZE,410. H1100,"H110
0",2023,"Hytech
seed
kenya","Maintainer:
Hytech seed
Kenya
souce:MISR
Hytech seed
Kenya","Altitude:800-
1500 m.a.s.l
AEZ: LM1- 5
Sites:Thika,Ka
ngunda,
Kianjai, Mwea,
Kathiani,
Homabay and
Soin",3-4,7-8," Good Standability
 Good husk/ tip cover
 Good milling quality
 Long peduncle and
suitable for the dry
and green maize
markets
 Stay green trait"
MAIZE,411. H2055,"H205
5",2023,"Hytech
seed
kenya","Maintainer:
Hytech seed
Kenya
souce:MISR
Hytech seed
Kenya","Altitude:800-
1800 m.a.s.l
AEZ: LM1- 5,
UM 4
Sites:Giaka,
Mitunguu,
Embu, Rwika,
Kendu Bay,
Bondo,
Lambwe,
Loitoktok",3-4,6-7.5," Yellow kernels
 Early Maturity
 Good husk/tip cover
 Stay green trait"
MAIZE,412. H0330,"Y203
*001",2023,"Hytech
seed
kenya","Maintainer:
Hytech seed
Kenya
souce:MISR
Hytech seed
Kenya","Altitude:800-
1500 m.a.s.l
AEZ: LM1- 5
Sites:Kakameg
a ,Bungoma,
Embu, Rwika,
Loitoktok,Ken
du Bay, Bondo",3.4-5.5,8-9," Yellow kernels
 Stay green trait
 Good husk/tip cover
 Tolerant to NCLB
 Good milling quality"
MAIZE,413. SC553,"SC55
3",2023,"Seed CO
Group","Agri seed co
limited","Altitude:300-
1300 m.a.s.l
AEZ: LM1- 4,
UM 1-4, LH 1-
4
Sites:Homaba
y, Kangundo,
Kathiani,
Kianjai,
Mukuyuni,
Mwea, Thika,
Busia and
similar
environments",3-4,5-7," Cobs with closed tips
protecting the grains
from rain water thus
reducing incidences of
cob rots
 Tolerant to drought"
MAIZE,"414. CHKE2
1W00
1","MAZ
AO
KAM
E 1",2024,KALRO,"KALRO/CIY
MMYT","Altitude:800-
1450 m.a.s.l
AEZ: IL 6, LM
5-6, LM 6
Sites:Kampi ya
Mawe, Kitui,
Rwika,
Homabay,
Mogotio,
Katumani,
Kathiani,
Salama,
Masimba,
Kiboko etc",3-4,4-6," High female inbred
parent(INP) is
introgressed with a
dominant male sterile
gene(MS44) which
eliminates the process
of detasseling during
seed production"
MAIZE,"415. CHKM
21W0
02","MAZ
AO 1",2024,KALRO,"KALRO/CIY
MMYT","Altitude:1100-
1500 m.a.s.l
AEZ: LM2, LM
3, LM 4, LM 5
Sites:Busia,
Siaya, Lower
Kakamega,
Lower
Bungoma,
Vihiga, Embu,
Kirinyaga,
Nyeri, Meru,
Tharaka Nithi",4-5,5-8," High female inbred
parent(INP) is
introgressed with a
dominant male sterile
gene(MS44) which
eliminates the process
of detasseling during
seed production"
MAIZE,"416. CHKM
21W0
03","MAZ
AO 2",2024,KALRO,"KALRO/CIY
MMYT","Altitude:1100-
1500 m.a.s.l
AEZ: LM2, LM
3, LM 4, LM 5
Sites:Busia,
Siaya, Lower
Kakamega,
Lower
Bungoma,
Vihiga, Embu,
Kirinyaga,
Nyeri, Meru,
Tharaka Nithi",4-5,5-7," High female inbred
parent(INP) is
introgressed with a
dominant male sterile
gene(MS44) which
eliminates the process
of detasseling during
seed production"
MAIZE,"417. HKE16
0279","ADV2
401
W",2024,"Advanta
Seed
Internati
onal","Asi Seeds
Enterprises
(K)LTD","Altitude:1400-
1800 m.a.s.l
AEZ: UM 3,
UM 4-5, LM1-
3
Sites:Kakameg
a,
Lanet,Bumula,
Mabanga, Yala
Bukura,
Kabianga etc",4-5,8-10," Tolerant to major leaf
disease like GLS,
Blight, rust, MSV &
ear rots
 Good Standability
 Uniform ear
placement with good
husk cover
 Resistant to root and
stem lodging
 Stay green at maturity
for fodder utilization
in addition to grain"
MAIZE,"418. CKDH
H1500
8FNP","ADV2
309
W-
EDV)",2024,"Advanta
Seed
Internati
onal","Asi Seeds
Enterprises
(K)LTD","Altitude:1200-
1600 m.a.s.l
AEZ: UM 4-5,
UM5, LM1- 2
Sites:Busia,
Embu, Kaguru,
Kimaeti,
Kirinyaga,
Siaya etc",4-5,6-8," Excellent Standability
due to seed
production from male
sterility system
 Tolerant to major leaf
disease like GLS,
Blight, rust, MSV
 Uniform ear
placement and good
husk cover"
MAIZE,"419. ZT
9003","ZT
9003",2025,"Bayer
East
Africa
Limited",Bayer AG,"Altitude:1000-
1800 m.a.s.l
AEZ: UM2-
LM2
Sites where
testing was
done:
Kirinyaga,Emb
u,Kaguru,Siaya
,Kimaeti,Busia",4-5,6-12," Tolerant to maize leaf
necrosis (MLN) (score of
4 in a scale of 1 – 9)
 Uniform cob placement –
good for mechanized
operations
 Excellent foliar disease
tolerance (GLS & NLB)
scores of less than 2
 Excellent ear rot
tolerance (Gibberella &
Diplodia ear rots) scores
of less than 2"
MAIZE,420. H535,"KSD
1700
21",2025,"Kenya
seed Co.","Kenya seed
Co.","Altitude: 800-
1500
AEZ: UM2-
LM2
Sites where
testing was
done:
Kirinyaga,Emb
u,Kaguru,Siaya
,Kimaeti,Busia",4-5,6-5-8.5," Large grains
 Semi flint
 Stalk lodge tolerance
 Good husk cover
 Uniform ear placement"
MAIZE,"421. X35N6
92W","PAN
5M-
41",2025,"Corteva
Agriscien
ce (K) ltd.","Corteva
Agriscience(
K) ltd.","Altitude:
1000-1500
AEZ: UM1-4
Sites where
testing was
done:
Busia,Embu,Ka
guru,Kimaeti,K
irinyaga,Siaya,
Soin,Wambug
u,",4-5,6-7.5," Grain Type:semi flint
 Good standability
 Wide adaptation
 Dropping characteristics
 A three way cross"
MAIZE,"1.WE12
59B","WE125
9B",2025,"AATF/B
AYER/K
ALRO/CI
MMYT","KALRO/B
AYER/CIM
MYT","Altitude: 800-1200
AEZ: LM 2-LM5
Sites where
testing was
done:Kianjai,Muku
yuni,Mwea,Thika,K
angundo,Kathiani,
Mariakani and
Homabay",3.5-4,6-7," Good adaptability across
different agro ecologies
 Stem borer resistance (<3.0 in
a scale of 1-9)
 Fall army worm tolerant (4 in a
scale of 1-9)
 Tolerant to gray leaf
spot,Turcicum leaf blight and
coming rust(4.0 in a scale of 1-
9)"
MAIZE,"2.WE32
05B","WE320
5B",2025,"KALRO/
BAYER/C
IMMYT","KALRO/B
AYER/CIM
MYT","Altitude:800-1500
AEZ: UM2-LM2
Sites where
testing was done:
Embu ,Alupe,
Busia,Kimaeti
,Kirinyaga,Siaya,W
ambugu and Soin",4-5,7-8," Good adaptability across
different agro ecologies
 Stem borer resistance (<3.0 in
a scale of 1-9)
 Fall army worm tolerant (4 in a
scale of 1-9)
 Resistant to gray leaf
spot,Turcicum leaf blight and
coming rust(<3.0 in a scale of
1-9)"
MAIZE,"3.WE52
06B","WE520
6B",2025,"AATF/B
AYER/K
ALRO/CI
MMYT","KALRO/B
AYER/CIM
MYT","Altitude:800-1500
AEZ: UM2-LM2
Sites where
testing was done:
Embu ,Alupe,
Busia,KImaeti
,Kirinyaga,Siaya,W
ambugu and Soin",4-5,"8-
10"," Good adaptability across
different agro ecologies
 Stem borer resistance (<3.0 in
a scale of 1-9)
 Fall army worm tolerant (4 in a
scale of 1-9)
 Resistant to gray leaf
spot,Turcicum leaf blight and
coming rust(<3.0 in a scale of
1-9)"
